"User ID","Time (UTC)","Survey Completion","Publisher Category","Gender","Age","Geography","Weight","Question #1 Answer","Response Time #1 (ms)"
"1000664679","2020-07-02 00:00:00","Complete","News","Male","35-44","US-SOUTH-MS-Vicksburg",0.9404565,"Used to commute, now work from home",6816
"1001158391","2020-06-30 08:00:00","Complete","News","Male","35-44","US-NORTHEAST-NY",1.3392127,"None of the above / Not working for pay",2619
"100126955","2020-07-01 13:00:00","Complete","News","Unknown","Unknown","US-SOUTH-WV",0,"Used to commute, now work from home",19163
"100130950","2020-06-29 23:00:00","Complete","News","Male","45-54","US-SOUTH-VA",0.8926676,"Used to commute, now work from home",12251
"1001568268","2020-07-01 23:00:00","Complete","News","Unknown","Unknown","US-WEST-CA-Napa",0,"None of the above / Not working for pay",7168
"1001689542","2020-07-01 21:00:00","Complete","News","Male","35-44","US-NORTHEAST-NJ",1.3392127,"None of the above / Not working for pay",17880
"1002154064","2020-07-01 20:00:00","Complete","News","Female","45-54","US-SOUTH-AL",0.9409563,"I continue to commute to work",15510
"1002290866","2020-07-01 16:00:00","Complete","News","Male","35-44","US-MIDWEST-WI-Madison",0.658892,"Used to work from home and still do",12016
"1002758132","2020-07-01 16:00:00","Complete","Arts & Entertainment","Unknown","Unknown","US-NORTHEAST-PA",0,"None of the above / Not working for pay",6858
"1002840154","2020-06-30 15:00:00","Complete","Reference","Male","55-64","US-SOUTH-MD",0.882053,"None of the above / Not working for pay",8011
"1002928102","2020-07-01 20:00:00","Complete","News","Female","65+","US-MIDWEST-MO-Jefferson City",0.6320629,"Used to work from home, but now I commute",11337
"1003114376","2020-07-02 01:00:00","Complete","News","Male","35-44","US-MIDWEST-MN",0.658892,"Used to work from home and still do",9747
"1003250126","2020-07-01 12:00:00","Complete","News","Unknown","Unknown","US-SOUTH-MD",0,"I continue to commute to work",9086
"1003261506","2020-06-30 16:00:00","Complete","Arts & Entertainment","Female","55-64","US-MIDWEST-OH",0.6514031,"None of the above / Not working for pay",4949
"1003698289","2020-07-01 19:00:00","Complete","News","Female","45-54","US-NORTHEAST-MA",1.3399244,"I continue to commute to work",30511
"1003959586","2020-07-02 00:00:00","Complete","News","Female","55-64","US-MIDWEST-OH",0.6514031,"None of the above / Not working for pay",17502
"1004010961","2020-07-02 00:00:00","Complete","News","Female","45-54","US-MIDWEST-MO-KCMO",0.6592421,"None of the above / Not working for pay",74679
"1004296891","2020-07-01 02:00:00","Complete","News","Male","55-64","US-MIDWEST-MO-St. Louis",0.617974,"Used to work from home and still do",27242
"1004434939","2020-07-02 16:00:00","Complete","News","Female","18-24","US-SOUTH-TX-Austin",1.4512163,"Used to commute, now work from home",15364
"1004506018","2020-07-02 10:00:00","Complete","News","Female","45-54","US-NORTHEAST-NY-Rochester",1.3399244,"I continue to commute to work",9523
"1004678709","2020-06-30 09:00:00","Complete","News","Unknown","Unknown","US-WEST-NV",0,"None of the above / Not working for pay",2506
"1005300848","2020-07-02 11:00:00","Complete","News","Male","45-54","US-MIDWEST-MN-Minneapolis",0.6254107,"None of the above / Not working for pay",13182
"1005744306","2020-07-03 02:00:00","Complete","News","Female","65+","US-SOUTH-FL",0.9021625,"None of the above / Not working for pay",13443
"1006054392","2020-06-30 15:00:00","Complete","News","Unknown","Unknown","US-MIDWEST-MI",0,"None of the above / Not working for pay",13874
"1006557918","2020-07-02 00:00:00","Complete","News","Male","18-24","US-SOUTH-VA",1.3767417,"I continue to commute to work",16108
"1007088827","2020-06-30 11:00:00","Complete","News","Female","Unknown","US-MIDWEST-IL-Chicago",0,"Used to commute, now work from home",15230
"1007371864","2020-07-02 00:00:00","Complete","News","Female","45-54","US-MIDWEST-IL",0.6592421,"None of the above / Not working for pay",14686
"1007985580","2020-06-30 17:00:00","Complete","News","Male","35-44","US-MIDWEST-WI-Madison",0.658892,"Used to commute, now work from home",18738
